real_distance,5_17,0_12
25.0,138.0,348.0
25.0,136.0,358.0
25.0,138.0,357.0
25.0,137.0,359.0
25.0,136.0,359.0
25.0,137.0,361.0
25.0,137.0,358.0
25.0,138.0,359.0
25.0,136.0,357.0
25.0,136.0,360.0
25.0,136.0,355.0
25.0,135.0,356.0
25.0,135.0,355.0
25.0,134.0,357.0
25.0,136.0,363.0
25.0,135.0,363.0
25.0,135.0,364.0
25.0,134.0,362.0
25.0,135.0,362.0
25.0,136.0,364.0
25.0,135.0,365.0
25.0,136.0,365.0
25.0,135.0,366.0
25.0,136.0,368.0
25.0,136.0,367.0
25.0,135.0,367.0
25.0,137.0,367.0
25.0,137.0,373.0
25.0,134.0,372.0
25.0,133.0,373.0
25.0,134.0,371.0
25.0,134.0,374.0
25.0,135.0,376.0
25.0,135.0,375.0
25.0,134.0,373.0
25.0,135.0,371.0
25.0,135.0,372.0
25.0,136.0,373.0
25.0,136.0,372.0
25.0,137.0,372.0
25.0,136.0,371.0
25.0,136.0,375.0
25.0,137.0,378.0
25.0,134.0,378.0
25.0,135.0,379.0
25.0,136.0,377.0
25.0,135.0,380.0
25.0,134.0,380.0
25.0,134.0,379.0
25.0,135.0,377.0
25.0,135.0,378.0
25.0,137.0,374.0
25.0,137.0,376.0
25.0,138.0,376.0
25.0,136.0,374.0
25.0,136.0,376.0
25.0,134.0,375.0
25.0,134.0,376.0
25.0,133.0,377.0
25.0,135.0,374.0
25.0,133.0,375.0
25.0,133.0,372.0
25.0,132.0,373.0
25.0,132.0,375.0
25.0,131.0,374.0
25.0,130.0,372.0
25.0,131.0,373.0
25.0,132.0,370.0
25.0,133.0,368.0
25.0,133.0,367.0
25.0,132.0,369.0
25.0,132.0,371.0
25.0,131.0,368.0
25.0,133.0,369.0
25.0,133.0,370.0
25.0,132.0,368.0
25.0,134.0,370.0
25.0,134.0,369.0
25.0,133.0,371.0
20.0,168.0,408.0
20.0,175.0,441.0
20.0,176.0,446.0
20.0,175.0,450.0
20.0,176.0,447.0
20.0,177.0,456.0
20.0,177.0,455.0
20.0,178.0,451.0
20.0,175.0,454.0
20.0,175.0,456.0
20.0,176.0,458.0
20.0,177.0,458.0
20.0,175.0,459.0
20.0,174.0,455.0
20.0,175.0,448.0
20.0,173.0,454.0
20.0,174.0,453.0
20.0,175.0,447.0
20.0,175.0,455.0
20.0,175.0,452.0
20.0,176.0,449.0
20.0,173.0,449.0
20.0,174.0,451.0
20.0,170.0,446.0
20.0,171.0,441.0
20.0,169.0,443.0
20.0,171.0,443.0
20.0,172.0,441.0
20.0,172.0,442.0
20.0,171.0,445.0
20.0,173.0,446.0
20.0,174.0,449.0
20.0,176.0,448.0
20.0,177.0,448.0
20.0,177.0,446.0
20.0,174.0,439.0
20.0,174.0,443.0
20.0,171.0,435.0
20.0,167.0,445.0
20.0,166.0,452.0
20.0,167.0,456.0
20.0,166.0,455.0
20.0,165.0,456.0
20.0,162.0,456.0
20.0,162.0,455.0
20.0,161.0,455.0
20.0,164.0,457.0
20.0,163.0,456.0
20.0,165.0,454.0
20.0,164.0,455.0
20.0,166.0,456.0
20.0,167.0,455.0
20.0,166.0,454.0
20.0,166.0,453.0
20.0,166.0,457.0
20.0,166.0,459.0
20.0,169.0,460.0
20.0,166.0,458.0
20.0,167.0,457.0
20.0,166.0,460.0
20.0,167.0,459.0
20.0,168.0,457.0
20.0,169.0,459.0
20.0,167.0,458.0
20.0,168.0,452.0
20.0,166.0,450.0
20.0,167.0,450.0
20.0,166.0,449.0
20.0,167.0,451.0
20.0,167.0,453.0
20.0,165.0,452.0
20.0,167.0,454.0
20.0,168.0,453.0
20.0,167.0,452.0
20.0,167.0,449.0
20.0,166.0,451.0
20.0,169.0,451.0
20.0,168.0,448.0
30.0,102.0,286.0
30.0,105.0,290.0
30.0,106.0,293.0
30.0,105.0,294.0
30.0,106.0,291.0
30.0,104.0,293.0
30.0,105.0,293.0
30.0,105.0,292.0
30.0,105.0,291.0
30.0,104.0,292.0
30.0,106.0,292.0
30.0,107.0,294.0
30.0,109.0,293.0
30.0,108.0,293.0
30.0,109.0,295.0
30.0,108.0,296.0
30.0,106.0,296.0
30.0,105.0,296.0
30.0,105.0,297.0
30.0,104.0,299.0
30.0,105.0,299.0
30.0,105.0,298.0
30.0,105.0,301.0
30.0,106.0,298.0
30.0,106.0,299.0
30.0,105.0,295.0
30.0,106.0,295.0
30.0,104.0,294.0
30.0,106.0,297.0
30.0,107.0,295.0
30.0,107.0,298.0
30.0,106.0,300.0
30.0,108.0,301.0
30.0,107.0,301.0
30.0,107.0,303.0
30.0,108.0,303.0
30.0,107.0,304.0
30.0,109.0,306.0
30.0,110.0,306.0
30.0,110.0,307.0
30.0,110.0,309.0
30.0,111.0,309.0
30.0,111.0,308.0
30.0,111.0,311.0
30.0,112.0,313.0
30.0,112.0,311.0
30.0,114.0,313.0
30.0,112.0,310.0
30.0,113.0,311.0
30.0,113.0,308.0
30.0,115.0,310.0
30.0,114.0,308.0
30.0,113.0,306.0
30.0,114.0,310.0
30.0,115.0,315.0
30.0,115.0,318.0
30.0,114.0,316.0
30.0,114.0,317.0
30.0,114.0,320.0
30.0,114.0,319.0
30.0,114.0,315.0
30.0,114.0,318.0
30.0,115.0,321.0
30.0,116.0,322.0
30.0,117.0,320.0
30.0,118.0,318.0
30.0,117.0,323.0
30.0,118.0,323.0
30.0,119.0,329.0
30.0,119.0,331.0
30.0,121.0,333.0
30.0,119.0,333.0
30.0,120.0,335.0
30.0,120.0,336.0
30.0,120.0,333.0
30.0,120.0,330.0
30.0,119.0,330.0
30.0,118.0,329.0
30.0,116.0,326.0
30.0,115.0,323.0
30.0,115.0,319.0
30.0,115.0,317.0
30.0,113.0,317.0
30.0,116.0,321.0
30.0,113.0,315.0
30.0,112.0,315.0
30.0,113.0,312.0
30.0,110.0,310.0
30.0,111.0,306.0
30.0,111.0,307.0
35.0,93.0,251.0
35.0,95.0,259.0
35.0,94.0,260.0
35.0,94.0,259.0
35.0,94.0,258.0
35.0,95.0,260.0
35.0,94.0,261.0
35.0,93.0,261.0
35.0,94.0,264.0
35.0,94.0,266.0
35.0,95.0,267.0
35.0,96.0,269.0
35.0,96.0,272.0
35.0,96.0,273.0
35.0,97.0,273.0
35.0,96.0,274.0
35.0,96.0,275.0
35.0,97.0,276.0
35.0,98.0,276.0
35.0,97.0,277.0
35.0,96.0,277.0
35.0,95.0,274.0
35.0,94.0,272.0
35.0,93.0,266.0
35.0,92.0,263.0
35.0,92.0,264.0
35.0,93.0,263.0
35.0,92.0,261.0
35.0,91.0,261.0
35.0,90.0,261.0
35.0,90.0,259.0
35.0,90.0,258.0
35.0,91.0,259.0
35.0,90.0,257.0
35.0,91.0,258.0
35.0,92.0,258.0
35.0,91.0,257.0
35.0,92.0,257.0
35.0,92.0,259.0
35.0,91.0,260.0
35.0,90.0,255.0
35.0,91.0,256.0
35.0,90.0,256.0
35.0,90.0,254.0
35.0,91.0,255.0
35.0,89.0,255.0
35.0,89.0,257.0
35.0,92.0,262.0
35.0,94.0,263.0
35.0,93.0,268.0
35.0,93.0,269.0
35.0,95.0,270.0
35.0,94.0,269.0
35.0,95.0,271.0
35.0,94.0,271.0
35.0,95.0,272.0
35.0,95.0,273.0
35.0,95.0,269.0
35.0,95.0,268.0
35.0,94.0,267.0
35.0,93.0,265.0
35.0,93.0,260.0
35.0,92.0,260.0
35.0,92.0,255.0
35.0,92.0,251.0
35.0,93.0,253.0
35.0,92.0,253.0
35.0,91.0,251.0
35.0,90.0,245.0
35.0,92.0,243.0
35.0,91.0,242.0
35.0,91.0,244.0
35.0,91.0,243.0
35.0,92.0,244.0
35.0,92.0,245.0
35.0,91.0,245.0
35.0,90.0,243.0
35.0,91.0,246.0
35.0,91.0,248.0
35.0,91.0,249.0
35.0,91.0,247.0
35.0,90.0,249.0
35.0,90.0,248.0
35.0,91.0,250.0
35.0,92.0,254.0
35.0,92.0,256.0
35.0,93.0,258.0
35.0,93.0,259.0
35.0,94.0,262.0
35.0,94.0,265.0
35.0,95.0,266.0
35.0,97.0,279.0
35.0,97.0,280.0
35.0,97.0,281.0
35.0,97.0,278.0
35.0,98.0,277.0
35.0,96.0,276.0
35.0,97.0,270.0
35.0,97.0,272.0
35.0,98.0,274.0
35.0,97.0,274.0
35.0,93.0,252.0
35.0,96.0,266.0
35.0,92.0,269.0
35.0,92.0,267.0
35.0,90.0,262.0
35.0,91.0,264.0
35.0,91.0,262.0
35.0,94.0,268.0
35.0,93.0,267.0
35.0,93.0,271.0
35.0,94.0,273.0
35.0,94.0,270.0
35.0,89.0,256.0
35.0,88.0,254.0
35.0,89.0,251.0
35.0,87.0,249.0
35.0,87.0,248.0
35.0,86.0,246.0
35.0,86.0,247.0
35.0,86.0,245.0
35.0,84.0,244.0
35.0,86.0,244.0
35.0,85.0,243.0
35.0,83.0,241.0
35.0,84.0,241.0
35.0,84.0,240.0
35.0,83.0,239.0
35.0,84.0,238.0
35.0,85.0,239.0
35.0,84.0,239.0
35.0,86.0,242.0
35.0,86.0,243.0
35.0,88.0,247.0
35.0,86.0,249.0
35.0,86.0,248.0
35.0,85.0,249.0
35.0,85.0,245.0
35.0,83.0,247.0
35.0,85.0,247.0
35.0,83.0,240.0
35.0,82.0,241.0
35.0,85.0,241.0
35.0,83.0,242.0
