time,state,x,y,z,qw,qx,qy,qz,Vx,Vy,Vz,wr,wp,wy,LF_HAA,LF_HFE,LF_KFE,RF_HAA,RF_HFE,RF_KFE,LH_HAA,LH_HFE,LH_KFE,RH_HAA,RH_HFE,RH_KFE,w_LF_HAA,w_LF_HFE,w_LF_KFE,w_RF_HAA,w_RF_HFE,w_RF_KFE,w_LH_HAA,w_LH_HFE,w_LH_KFE,w_RH_HAA,w_RH_HFE,w_RH_KFE,tau_LF_HAA,tau_LF_HFE,tau_LF_KFE,tau_RF_HAA,tau_RF_HFE,tau_RF_KFE,tau_LH_HAA,tau_LH_HFE,tau_LH_KFE,tau_RH_HAA,tau_RH_HFE,tau_RH_KFE
2001,2,-0.0119815,1.00039,0.137303,0.99998,0.000295938,-0.00614099,0.00132586,-0.0260066,-1.07E-05,0.0467025,0.0291639,0.0352801,0.00182002,0.00804102,-1.20273,2.45033,0.00963247,-1.20333,2.45044,0.0203695,-0.97736,2.44724,0.0200467,-0.976898,2.44774,-0.0340497,0.350802,-0.248479,0.0290715,0.338926,-0.231507,-0.0362272,0.314363,-0.346718,0.0213753,0.306243,-0.326986,-0.483484,13,-21,-0.577074,13,-21,-1.22325,0,-17.8965,-1.20216,0,-17.916
2002,2,-0.0120202,1.00039,0.137373,0.99998,0.000316429,-0.00611537,0.00132701,-0.0514717,-7.86E-05,0.0919383,0.0526311,0.0673267,0.00331799,0.00799325,-1.20221,2.44996,0.00967282,-1.20283,2.45009,0.0203183,-0.976893,2.44672,0.0200756,-0.976443,2.44725,-0.061504,0.692231,-0.493168,0.0516414,0.670599,-0.462132,-0.0662231,0.618323,-0.68229,0.0365873,0.603562,-0.64589,-0.482461,13,-21,-0.577948,13,-21,-1.22217,0,-17.8895,-1.2028,0,-17.9095
2003,2,-0.0120842,1.00039,0.137487,0.999981,0.000347471,-0.00607456,0.00132877,-0.0764434,-0.000210206,0.136138,0.0712745,0.0960529,0.00455318,0.0079207,-1.20136,2.44935,0.00973304,-1.202,2.44951,0.0202397,-0.976128,2.44588,0.0201176,-0.975696,2.44645,-0.0835934,1.02424,-0.733871,0.0687848,0.994626,-0.691406,-0.0909474,0.911972,-1.00651,0.0473625,0.891699,-0.956597,-0.479595,13,-21,-0.580369,13,-21,-1.2191,0,-17.869,-1.20454,0,-17.89
2004,2,-0.0121728,1.00039,0.137644,0.999981,0.000386771,-0.00602023,0.00133104,-0.100934,-0.000395995,0.179309,0.0855786,0.121506,0.00555905,0.00782868,-1.20017,2.44849,0.00980788,-1.20084,2.44871,0.0201389,-0.975074,2.44472,0.020168,-0.974664,2.44534,-0.100449,1.34685,-0.971066,0.0808964,1.31082,-0.919204,-0.1107,1.19533,-1.31983,0.0533408,1.17068,-1.25874,-0.475242,13,-21,-0.583982,13,-21,-1.21438,0,-17.8352,-1.20706,0,-17.858
2005,2,-0.0122858,1.00039,0.137845,0.999981,0.000432327,-0.00595399,0.00133372,-0.124957,-0.000629386,0.221455,0.0962245,0.14367,0.00635492,0.00772183,-1.19867,2.44741,0.00989279,-1.19938,2.44768,0.0200203,-0.973743,2.44325,0.0202227,-0.973359,2.44394,-0.113252,1.66,-1.20483,0.0889191,1.61895,-1.14559,-0.126411,1.46839,-1.62244,0.0561524,1.44025,-1.55264,-0.469721,13,-21,-0.588473,13,-21,-1.20833,0,-17.7887,-1.21008,0,-17.8137
2006,2,-0.0124225,1.00039,0.138087,0.999982,0.000482405,-0.00587749,0.00133672,-0.148523,-0.000902011,0.262585,0.103603,0.162595,0.00697044,0.00760417,-1.19685,2.44608,0.00998382,-1.19761,2.44642,0.0198879,-0.972143,2.44148,0.0202785,-0.971789,2.44224,-0.122059,1.96371,-1.43559,0.0931538,1.91886,-1.37047,-0.138294,1.73121,-1.91474,0.0553621,1.70048,-1.83797,-0.46331,13,-21,-0.593567,13,-21,-1.20122,0,-17.7298,-1.21336,0,-17.7575
2007,2,-0.0125826,1.00039,0.138369,0.999982,0.000535514,-0.00579235,0.00133997,-0.171646,-0.00120835,0.302703,0.108296,0.178269,0.0074218,0.00747918,-1.19474,2.44454,0.0100776,-1.19555,2.44494,0.0197452,-0.970285,2.43942,0.0203324,-0.969963,2.44026,-0.127914,2.25795,-1.66338,0.0944205,2.21036,-1.5939,-0.147168,1.98383,-2.19691,0.0524627,1.95115,-2.11506,-0.45625,13,-21,-0.599029,13,-21,-1.19328,0,-17.6591,-1.21671,0,-17.6897
2008,2,-0.0127656,1.00038,0.138692,0.999983,0.000590384,-0.00570017,0.00134339,-0.194337,-0.00154122,0.341818,0.110607,0.190745,0.00773471,0.00734982,-1.19234,2.44276,0.0101713,-1.19319,2.44323,0.019595,-0.96818,2.43709,0.0203821,-0.967891,2.43802,-0.130805,2.54275,-1.88859,0.0929341,2.49334,-1.8158,-0.15317,2.2263,-2.4693,0.046952,2.19238,-2.3836,-0.448751,13,-21,-0.604657,13,-21,-1.18471,0,-17.5768,-1.21994,0,-17.6106
2009,2,-0.0129711,1.00038,0.139053,0.999983,0.000645945,-0.00560255,0.00134693,-0.216607,-0.00189613,0.379934,0.111026,0.200017,0.00792214,0.0072186,-1.18966,2.44076,0.0102625,-1.19056,2.4413,0.01944,-0.965838,2.43449,0.0204257,-0.965583,2.4355,-0.131646,2.8181,-2.11124,0.0893996,2.76765,-2.03625,-0.157012,2.45869,-2.73205,0.0401914,2.42401,-2.64394,-0.440989,13,-21,-0.610277,13,-21,-1.1757,0,-17.4835,-1.22293,0,-17.5206
2010,2,-0.0131986,1.00038,0.139451,0.999984,0.000701305,-0.00550108,0.00135054,-0.23847,-0.00226703,0.417061,0.109781,0.20614,0.00800596,0.00708759,-1.18671,2.43854,0.0103491,-1.18766,2.43916,0.0192821,-0.963268,2.43163,0.0204616,-0.963048,2.43273,-0.130363,3.08405,-2.33165,0.0839558,3.03323,-2.25518,-0.158762,2.6811,-2.9855,0.0316222,2.64618,-2.89581,-0.433116,13,-21,-0.615747,13,-21,-1.1664,0,-17.3795,-1.22554,0,-17.4201
