t,x,y,r,bh,bt,fh,ft,dx,dy,dr,dbh,dbt,dfh,dft,ubh,ubt,ufh,uft
0,0,0.205,0,-1.228203673,2.34,-1.228203673,2.34,0,0,0,0,0,0,0,0,0,0,0
0.001,-0.000279566,0.205117978,-0.00725262,-1.215,2.332599064,-1.228,2.341,-0.027078525,0.012461254,-0.680193578,0,0,0.612065453,0.550132122,0,0,0,0
0.002,-0.000559133,0.205235956,-0.014505239,-1.21,2.325198128,-1.2276,2.342,-0.054157049,0.024922508,-1.360387155,0,0,1.224130907,1.100264243,0,0,0,0
0.003,-0.000838699,0.205353934,-0.021757859,-1.205,2.317797191,-1.2272,2.343,-0.081235574,0.037383762,-2.040580733,0,0,1.83619636,1.650396365,0,0,0,0
0.004,-0.001118265,0.205471912,-0.029010479,-1.2,2.310396255,-1.2268,2.344,-0.108314099,0.049845016,-2.72077431,0,0,2.448261814,2.200528486,0,0,0,0
0.005,-0.001397831,0.20558989,-0.036263098,-1.195,2.302995319,-1.2264,2.345,-0.135392623,0.062306269,-3.400967888,0,0,3.060327267,2.750660608,0,0,0,0
0.006,-0.001677398,0.205707868,-0.043515718,-1.19,2.295594383,-1.226,2.346,-0.162471148,0.074767523,-4.081161466,0,0,3.672392721,3.300792729,0,0,0,0
0.007,-0.001956964,0.205825845,-0.050768338,-1.185,2.288193446,-1.2256,2.347,-0.189549673,0.087228777,-4.761355043,0,0,4.284458174,3.850924851,0,0,0,0
0.008,-0.00223653,0.205943823,-0.058020958,-1.18,2.28079251,-1.2252,2.348,-0.216628197,0.099690031,-5.441548621,0,0,4.896523628,4.401056972,0,0,0,0
0.009,-0.002516096,0.206061801,-0.065273577,-1.175,2.273391574,-1.2248,2.349,-0.243706722,0.112151285,-6.121742198,0,0,5.508589081,4.951189094,0,0,0,0
0.01,-0.002795663,0.206179779,-0.072526197,-1.17,2.265990638,-1.2244,2.35,-0.270785247,0.124612539,-6.801935776,0,0,6.120654535,5.501321215,0,0,0,0
0.011,-0.003075229,0.206297757,-0.079778817,-1.165,2.258589702,-1.224,2.351,-0.297863771,0.137073793,-7.482129353,0,0,6.732719988,6.051453337,0,0,0,0
0.012,-0.003354795,0.206415735,-0.087031436,-1.16,2.251188765,-1.2236,2.352,-0.324942296,0.149535047,-8.162322931,0,0,7.344785442,6.601585458,0,0,0,0
0.013,-0.003634361,0.206533713,-0.094284056,-1.155,2.243787829,-1.2232,2.353,-0.352020821,0.161996301,-8.842516509,0,0,7.956850895,7.15171758,0,0,0,0
0.014,-0.003913928,0.206651691,-0.101536676,-1.15,2.236386893,-1.2228,2.354,-0.379099345,0.174457555,-9.522710086,0,0,8.568916349,7.701849701,0,0,0,0
0.015,-0.004193494,0.206769669,-0.108789295,-1.145,2.228985957,-1.2224,2.355,-0.40617787,0.186918808,-10.20290366,0,0,9.180981802,8.251981823,0,0,0,0
0.016,-0.004573938,0.206974363,-0.117748801,-1.14,2.219388349,-1.222,2.356,-0.402787221,0.189147002,-10.04435869,0,0,9.245101666,8.061878504,0,0,0,0
