t,x,y,r,bh,bt,fh,ft,dx,dy,dr,dbh,dbt,dfh,dft,ubh,ubt,ufh,uft
0,0,0.205,0,-1.047197551,2.094395102,-1.047197551,2.094395102,0,0,0,0,0,0,0,0,0,0,0
0.001,0.000210697,0.204858454,0.006688215,-1.162266035,2.009922302,-1.051902936,2.088631599,0.018532093,-0.008618616,0.552439542,0,0,0,0,0,0,0,0
0.002,0.000421395,0.204716908,0.013376429,-1.162266035,2.009922302,-1.05660832,2.088631599,0.037064187,-0.017237231,1.104879085,0,0,0,0,0,0,0,0
0.003,0.000632092,0.204575362,0.020064644,-1.162266035,2.009922302,-1.061313705,2.088631599,0.05559628,-0.025855847,1.657318627,0,0,0,0,0,0,0,0
0.004,0.00084279,0.204433816,0.026752859,-1.162266035,2.009922302,-1.066019089,2.088631599,0.074128373,-0.034474463,2.209758169,0,0,0,0,0,0,0,0
0.005,0.001053487,0.20429227,0.033441074,-1.162266035,2.009922302,-1.070724474,2.088631599,0.092660466,-0.043093079,2.762197711,0,0,0,0,0,0,0,0
0.006,0.001264184,0.204150724,0.040129288,-1.162266035,2.009922302,-1.075429859,2.088631599,0.11119256,-0.051711694,3.314637254,0,0,0,0,0,0,0,0
0.007,0.001474882,0.204009178,0.046817503,-1.162266035,2.009922302,-1.080135243,2.088631599,0.129724653,-0.06033031,3.867076796,0,0,0,0,0,0,0,0
0.008,0.001685579,0.203867632,0.053505718,-1.162266035,2.009922302,-1.084840628,2.088631599,0.148256746,-0.068948926,4.419516338,0,0,0,0,0,0,0,0
0.009,0.001896277,0.203726086,0.060193933,-1.162266035,2.009922302,-1.089546012,2.088631599,0.166788839,-0.077567541,4.971955881,0,0,0,0,0,0,0,0
0.01,0.002106974,0.20358454,0.066882147,-1.162266035,2.009922302,-1.094251397,2.088631599,0.185320933,-0.086186157,5.524395423,0,0,0,0,0,0,0,0
0.011,0.002317671,0.203442994,0.073570362,-1.162266035,2.009922302,-1.098956781,2.088631599,0.203853026,-0.094804773,6.076834965,0,0,0,0,0,0,0,0
0.012,0.002528369,0.203301448,0.080258577,-1.162266035,2.009922302,-1.103662166,2.088631599,0.222385119,-0.103423389,6.629274507,0,0,0,0,0,0,0,0
0.013,0.002739066,0.203159902,0.086946792,-1.162266035,2.009922302,-1.10836755,2.088631599,0.240917212,-0.112042004,7.18171405,0,0,0,0,0,0,0,0
